"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TCS","EQ","30-Jun-2026","2,097.90","2,090.00","2,104.30","2,018.80","2,033.00","2,031.50","2,042.05","68,48,411","13,98,47,86,947.60","2,94,008","37,89,332","55.33"
"TCS","EQ","29-Jun-2026","2,094.70","2,090.00","2,105.00","2,071.00","2,094.00","2,097.90","2,089.53","34,12,470","7,13,04,58,833.10","1,62,690","18,62,431","54.58"
"TCS","EQ","25-Jun-2026","2,109.00","2,133.60","2,148.50","2,088.00","2,095.90","2,094.70","2,117.73","47,38,903","10,03,57,14,708.10","1,77,569","19,48,725","41.12"
"TCS","EQ","24-Jun-2026","2,059.60","2,061.00","2,120.70","2,061.00","2,107.10","2,109.00","2,093.61","47,47,277","9,93,89,58,483.50","1,80,127","19,09,118","40.22"
"TCS","EQ","23-Jun-2026","2,127.80","2,111.00","2,114.00","2,055.00","2,060.00","2,059.60","2,073.42","63,92,736","13,25,48,06,163.90","2,80,238","34,73,372","54.33"
"TCS","EQ","22-Jun-2026","2,125.00","2,132.20","2,157.00","2,121.00","2,129.50","2,127.80","2,135.79","45,66,101","9,75,22,28,673.00","1,48,495","24,99,593","54.74"
"TCS","EQ","19-Jun-2026","2,203.30","2,105.00","2,138.00","2,059.90","2,135.90","2,125.00","2,089.19","1,32,86,502","27,75,80,42,714.10","4,81,812","68,80,131","51.78"
"TCS","EQ","18-Jun-2026","2,223.00","2,209.00","2,214.00","2,182.00","2,202.50","2,203.30","2,197.22","37,35,188","8,20,70,25,076.50","1,41,783","19,51,368","52.24"
"TCS","EQ","17-Jun-2026","2,199.00","2,209.00","2,231.00","2,200.70","2,221.00","2,223.00","2,220.40","28,65,010","6,36,14,71,428.90","1,07,237","15,38,998","53.72"
"TCS","EQ","16-Jun-2026","2,162.00","2,167.00","2,209.00","2,160.60","2,197.90","2,199.00","2,189.97","30,79,898","6,74,48,89,594.10","1,20,376","13,14,406","42.68"
"TCS","EQ","15-Jun-2026","2,161.40","2,192.00","2,192.00","2,159.30","2,162.60","2,162.00","2,170.27","33,37,083","7,24,23,75,099.40","1,13,160","20,04,587","60.07"
"TCS","EQ","12-Jun-2026","2,135.60","2,150.00","2,168.00","2,138.00","2,161.10","2,161.40","2,153.15","21,24,656","4,57,46,95,142.60","98,414","9,10,656","42.86"
"TCS","EQ","11-Jun-2026","2,153.90","2,127.00","2,154.60","2,110.00","2,136.70","2,135.60","2,132.03","30,79,815","6,56,62,43,978.90","1,46,700","9,56,732","31.06"
"TCS","EQ","10-Jun-2026","2,151.00","2,151.30","2,180.80","2,144.80","2,151.80","2,153.90","2,162.42","28,48,650","6,15,99,63,945.60","1,09,866","13,74,325","48.24"
"TCS","EQ","09-Jun-2026","2,151.40","2,174.00","2,174.00","2,132.80","2,152.00","2,151.00","2,148.74","41,48,655","8,91,43,99,373.70","1,37,800","18,93,020","45.63"
"TCS","EQ","08-Jun-2026","2,198.90","2,170.00","2,177.00","2,143.30","2,149.40","2,151.40","2,158.30","65,36,734","14,10,82,36,765.00","1,97,493","35,83,697","54.82"
"TCS","EQ","05-Jun-2026","2,241.00","2,262.90","2,271.80","2,192.00","2,196.00","2,198.90","2,219.87","50,19,717","11,14,31,26,655.80","2,26,269","23,37,405","46.56"
"TCS","EQ","04-Jun-2026","2,241.70","2,241.70","2,253.10","2,216.60","2,243.00","2,241.00","2,236.45","48,67,263","10,88,54,12,981.10","1,56,136","20,46,859","42.05"
"TCS","EQ","03-Jun-2026","2,446.90","2,393.00","2,393.00","2,224.80","2,245.00","2,241.70","2,267.78","1,56,60,062","35,51,36,38,076.70","5,02,630","69,71,192","44.52"
"TCS","EQ","02-Jun-2026","2,297.40","2,320.00","2,457.40","2,316.20","2,451.10","2,446.90","2,419.08","1,13,06,127","27,35,04,73,864.60","3,66,391","58,81,072","52.02"
"TCS","EQ","01-Jun-2026","2,258.90","2,284.00","2,335.00","2,280.00","2,296.40","2,297.40","2,300.81","75,05,095","17,26,77,97,717.50","1,54,067","48,05,276","64.03"
"TCS","EQ","29-May-2026","2,284.20","2,291.00","2,334.00","2,235.00","2,256.00","2,258.90","2,271.96","1,63,31,582","37,10,46,29,642.30","2,31,376","1,13,46,245","69.47"
"TCS","EQ","27-May-2026","2,276.20","2,275.00","2,295.60","2,260.90","2,289.90","2,284.20","2,276.47","26,53,950","6,04,16,27,688.20","1,23,480","12,89,140","48.57"
"TCS","EQ","26-May-2026","2,308.20","2,308.20","2,327.90","2,272.40","2,281.40","2,276.20","2,289.98","35,87,597","8,21,55,34,119.50","1,30,719","18,10,291","50.46"
"TCS","EQ","25-May-2026","2,317.30","2,325.00","2,326.10","2,293.00","2,307.40","2,308.20","2,310.30","32,98,364","7,62,02,24,109.50","75,809","20,96,906","63.57"
"TCS","EQ","22-May-2026","2,327.20","2,331.10","2,340.00","2,308.10","2,317.90","2,317.30","2,323.55","26,17,262","6,08,13,46,029.20","87,846","14,41,496","55.08"
"TCS","EQ","21-May-2026","2,327.40","2,331.00","2,335.90","2,314.00","2,325.40","2,327.20","2,324.25","32,99,087","7,66,79,13,393.70","1,06,203","15,24,694","46.22"
"TCS","EQ","20-May-2026","2,327.10","2,323.90","2,342.00","2,317.80","2,324.10","2,327.40","2,332.61","25,37,422","5,91,88,03,274.80","98,920","14,19,151","55.93"
"TCS","EQ","19-May-2026","2,283.20","2,300.00","2,377.60","2,297.10","2,330.00","2,327.10","2,347.34","1,03,94,707","24,39,98,67,016.00","2,36,124","55,21,832","53.12"
"TCS","EQ","18-May-2026","2,264.00","2,264.00","2,292.90","2,252.20","2,289.90","2,283.20","2,277.12","37,73,336","8,59,23,31,857.60","1,18,965","19,29,481","51.13"
"TCS","EQ","15-May-2026","2,246.00","2,252.00","2,304.90","2,252.00","2,267.00","2,264.00","2,280.06","34,10,637","7,77,64,69,684.80","1,35,890","14,87,406","43.61"
"TCS","EQ","14-May-2026","2,272.80","2,265.00","2,265.00","2,206.40","2,249.90","2,246.00","2,236.83","56,33,313","12,60,07,36,362.00","2,41,132","22,56,075","40.05"
"TCS","EQ","13-May-2026","2,300.30","2,306.00","2,309.20","2,269.00","2,274.00","2,272.80","2,285.14","31,71,843","7,24,80,98,371.80","1,69,055","15,57,378","49.10"
"TCS","EQ","12-May-2026","2,392.90","2,375.00","2,375.00","2,283.00","2,303.50","2,300.30","2,302.30","63,47,884","14,61,47,16,645.60","3,58,785","31,08,189","48.96"
"TCS","EQ","11-May-2026","2,394.40","2,371.00","2,415.00","2,371.00","2,400.00","2,392.90","2,397.63","19,75,188","4,73,57,75,184.10","1,16,550","9,38,571","47.52"
"TCS","EQ","08-May-2026","2,401.40","2,398.00","2,407.00","2,375.10","2,397.20","2,394.40","2,387.75","37,92,199","9,05,48,24,056.00","1,84,241","21,53,814","56.80"
"TCS","EQ","07-May-2026","2,435.40","2,438.20","2,439.70","2,398.00","2,403.00","2,401.40","2,408.44","58,29,594","14,04,02,48,979.00","1,67,098","36,69,201","62.94"
"TCS","EQ","06-May-2026","2,427.30","2,441.90","2,471.00","2,406.50","2,435.00","2,435.40","2,433.81","31,47,628","7,66,07,43,017.80","1,30,239","16,32,690","51.87"
"TCS","EQ","05-May-2026","2,431.30","2,430.00","2,460.40","2,412.20","2,429.80","2,427.30","2,432.41","33,85,720","8,23,54,52,650.20","1,34,489","13,21,644","39.04"
"TCS","EQ","04-May-2026","2,473.90","2,494.00","2,498.30","2,425.00","2,430.00","2,431.30","2,444.12","26,32,358","6,43,37,88,855.30","1,45,629","13,61,452","51.72"
"TCS","EQ","30-Apr-2026","2,474.70","2,479.00","2,491.00","2,438.00","2,474.80","2,473.90","2,470.47","39,70,446","9,80,88,81,103.10","1,75,405","18,66,712","47.02"
"TCS","EQ","29-Apr-2026","2,444.70","2,451.00","2,487.90","2,447.60","2,465.00","2,474.70","2,473.75","28,35,961","7,01,54,68,503.50","1,45,414","15,45,412","54.49"
"TCS","EQ","28-Apr-2026","2,447.60","2,444.00","2,487.00","2,427.40","2,450.70","2,444.70","2,452.87","45,08,363","11,05,84,22,250.70","2,02,414","27,66,449","61.36"
"TCS","EQ","27-Apr-2026","2,396.90","2,396.90","2,459.00","2,396.90","2,448.00","2,447.60","2,439.56","58,53,425","14,27,98,01,556.70","2,26,406","40,94,096","69.94"
"TCS","EQ","24-Apr-2026","2,521.80","2,488.00","2,505.00","2,388.80","2,401.00","2,396.90","2,426.09","51,07,719","12,39,18,09,512.40","3,00,607","28,43,963","55.68"
"TCS","EQ","23-Apr-2026","2,538.50","2,529.00","2,559.50","2,516.30","2,518.20","2,521.80","2,538.03","25,09,050","6,36,80,42,336.20","1,16,013","11,71,845","46.70"
"TCS","EQ","22-Apr-2026","2,610.50","2,580.00","2,580.00","2,503.60","2,535.30","2,538.50","2,543.73","52,32,045","13,30,89,11,672.10","2,34,440","28,56,832","54.60"
"TCS","EQ","21-Apr-2026","2,579.60","2,560.00","2,614.00","2,560.00","2,609.90","2,610.50","2,596.45","27,19,959","7,06,22,45,701.10","1,26,132","12,65,960","46.54"
"TCS","EQ","20-Apr-2026","2,581.50","2,587.10","2,594.00","2,561.20","2,575.90","2,579.60","2,581.08","22,88,558","5,90,69,41,172.80","1,24,006","11,39,385","49.79"
"TCS","EQ","17-Apr-2026","2,576.90","2,570.00","2,589.00","2,555.90","2,583.60","2,581.50","2,577.98","27,18,206","7,00,74,72,973.50","1,31,272","16,79,683","61.79"
"TCS","EQ","16-Apr-2026","2,554.90","2,572.00","2,594.00","2,558.00","2,573.00","2,576.90","2,575.26","39,05,403","10,05,74,27,039.80","1,74,580","15,80,219","40.46"
"TCS","EQ","15-Apr-2026","2,472.60","2,501.90","2,559.00","2,493.40","2,552.80","2,554.90","2,542.02","52,61,384","13,37,45,54,360.50","1,86,444","27,40,311","52.08"
"TCS","EQ","13-Apr-2026","2,524.30","2,489.90","2,504.90","2,470.00","2,470.70","2,472.60","2,480.40","37,39,587","9,27,56,88,865.00","1,52,183","14,63,604","39.14"
"TCS","EQ","10-Apr-2026","2,589.00","2,565.80","2,565.80","2,501.10","2,523.00","2,524.30","2,522.67","1,04,80,239","26,43,82,19,057.00","3,73,922","43,80,270","41.80"
"TCS","EQ","09-Apr-2026","2,559.20","2,554.00","2,605.00","2,531.10","2,590.00","2,589.00","2,577.84","56,28,261","14,50,87,58,087.80","2,18,190","20,13,800","35.78"
"TCS","EQ","08-Apr-2026","2,539.80","2,572.00","2,580.30","2,540.10","2,561.10","2,559.20","2,557.13","47,69,337","12,19,58,04,701.30","2,36,001","21,66,392","45.42"
"TCS","EQ","07-Apr-2026","2,473.90","2,461.00","2,543.90","2,448.00","2,543.50","2,539.80","2,522.72","45,16,550","11,39,39,81,114.00","2,19,120","23,00,163","50.93"
"TCS","EQ","06-Apr-2026","2,450.70","2,474.00","2,482.00","2,448.20","2,472.00","2,473.90","2,465.46","25,72,417","6,34,21,91,751.10","1,18,175","11,58,875","45.05"
"TCS","EQ","02-Apr-2026","2,408.20","2,386.00","2,469.90","2,375.70","2,445.70","2,450.70","2,428.65","53,78,361","13,06,21,62,395.40","2,53,292","28,10,101","52.25"
"TCS","EQ","01-Apr-2026","2,358.90","2,429.00","2,472.00","2,397.90","2,411.20","2,408.20","2,433.70","41,32,661","10,05,76,37,617.80","1,47,044","19,75,037","47.79"
"TCS","EQ","30-Mar-2026","2,389.80","2,375.10","2,398.00","2,346.20","2,365.00","2,358.90","2,370.92","68,04,756","16,13,35,42,829.30","1,86,938","35,20,605","51.74"
"TCS","EQ","27-Mar-2026","2,377.40","2,403.90","2,422.10","2,385.00","2,387.50","2,389.80","2,403.64","49,79,411","11,96,86,98,699.20","2,04,594","24,29,797","48.80"
"TCS","EQ","25-Mar-2026","2,398.80","2,400.90","2,421.60","2,369.80","2,377.90","2,377.40","2,397.29","58,43,778","14,00,92,57,427.90","2,16,118","36,97,949","63.28"
"TCS","EQ","24-Mar-2026","2,383.80","2,404.10","2,435.40","2,379.10","2,400.80","2,398.80","2,405.63","34,20,182","8,22,77,06,052.40","1,74,467","17,73,798","51.86"
"TCS","EQ","23-Mar-2026","2,390.60","2,365.00","2,406.80","2,348.00","2,380.00","2,383.80","2,389.12","38,60,515","9,22,32,42,939.10","2,14,767","17,19,448","44.54"
"TCS","EQ","20-Mar-2026","2,356.00","2,386.00","2,407.80","2,364.20","2,397.60","2,390.60","2,384.64","42,06,320","10,03,05,76,230.90","1,86,293","24,35,470","57.90"
"TCS","EQ","19-Mar-2026","2,440.80","2,417.00","2,424.00","2,350.20","2,362.80","2,356.00","2,378.78","27,57,060","6,55,84,45,932.60","1,71,760","14,12,111","51.22"
"TCS","EQ","18-Mar-2026","2,391.70","2,410.00","2,482.90","2,410.00","2,439.00","2,440.80","2,457.23","30,82,388","7,57,41,39,825.80","1,49,271","12,09,087","39.23"
"TCS","EQ","17-Mar-2026","2,409.20","2,420.00","2,420.00","2,360.00","2,394.00","2,391.70","2,387.21","29,93,367","7,14,58,03,596.00","2,07,239","14,19,384","47.42"
"TCS","EQ","16-Mar-2026","2,410.50","2,410.00","2,425.00","2,366.10","2,401.00","2,409.20","2,394.18","38,07,907","9,11,68,14,433.00","1,69,215","17,14,733","45.03"
"TCS","EQ","13-Mar-2026","2,442.40","2,437.00","2,445.90","2,397.00","2,412.00","2,410.50","2,418.06","24,66,488","5,96,41,19,962.40","1,80,674","12,62,517","51.19"
